1,Zamit,25,62,71,9/12/2016,Hamilton,5/17/2016
2,It,25,86,33,2/6/2017,Simmons,9/14/2016
3,Span,24,90,60,3/6/2016,Hudson,5/7/2016
4,Hatity,10,74,71,11/22/2016,West,11/14/2016
5,Mat Lam Tam,16,69,4,5/25/2016,Hudson,2/28/2016
6,Tempsoft,12,81,32,4/5/2016,Jackson,10/18/2016
7,Voltsillam,11,71,4,4/8/2016,Smith,4/27/2016
8,Domainer,21,87,33,9/18/2016,Moreno,8/13/2016
9,Zathin,10,85,41,1/29/2016,Mcdonald,1/17/2016
10,Sonsing,21,63,66,6/25/2016,Miller,5/14/2016
11,Y-Solowarm,18,81,75,1/23/2017,Hanson,12/17/2016
12,Konklux,27,72,85,12/25/2015,Shaw,11/10/2016
13,Opela,18,75,48,5/26/2016,Hawkins,12/27/2016
14,Daltfresh,24,62,66,11/7/2016,Green,12/1/2015
15,Asoka,24,77,50,12/8/2015,Frazier,12/25/2016
16,Gembucket,23,73,16,1/4/2016,Shaw,10/5/2016
17,Veribet,21,84,94,9/27/2016,Franklin,12/8/2016
18,Konklux,16,67,43,10/13/2016,Hughes,4/3/2016
19,Zontrax,20,83,34,2/2/2016,Gilbert,1/9/2016
20,Otcom,28,63,47,11/2/2016,Gibson,7/7/2016
