1,10,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam,lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo,turpis eget elit sodales scelerisque mauris sit amet eros suspendisse,felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar,3
2,19,quisque porta volutpat erat quisque erat eros viverra eget congue eget,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat,vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus,felis donec semper sapien a libero nam dui proin leo odio porttitor,3
3,8,nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis,risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum,vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat,felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis,4
4,11,tincidunt eu felis fusce posuere,lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum,et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit,2
5,12,sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices,amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in,sapien varius ut blandit non interdum in ante vestibulum ante ipsum,pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in,rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut,1
6,5,sagittis sapien cum sociis natoque penatibus et,vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien,rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in,duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat,1
7,8,eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante,turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci,4
8,3,eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis,vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis,integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi,3
9,8,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer,nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse,vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo,vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti,2
10,5,vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,phasellus sit amet erat nulla tempus vivamus in felis eu sapien,id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu,nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit,2
11,12,dui proin leo odio porttitor id consequat in,morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl,nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas,3
12,11,magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum,sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam,a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium,ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut,est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum,2
13,15,potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam,lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra,eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper,in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque,1
14,20,massa tempor convallis nulla neque,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus,turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut,ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit,maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum,4
15,10,venenatis lacinia aenean sit amet justo morbi ut odio cras mi,in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis,lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget,volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis,platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id,1
16,6,consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi,magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere,cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean,neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim,3
17,17,justo etiam pretium iaculis justo in hac habitasse platea,vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper,sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi,in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis,4
18,8,morbi ut odio cras mi pede malesuada in imperdiet,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida,convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet,varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non,1
19,6,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan,vestibulum quam sapien varius ut blandit non interdum in ante,dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut,lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in,2
20,10,in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est,quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus,sapien cursus vestibulum proin eu mi nulla ac enim in,metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum,vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est,1
21,1,a feugiat et eros vestibulum ac est,rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat,libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus,tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam,erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor,4
22,3,donec odio justo sollicitudin ut suscipit a feugiat,magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in,ligula nec sem duis aliquam convallis nunc proin at turpis a,turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam,ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum,2
23,14,vel pede morbi porttitor lorem id ligula suspendisse ornare consequat,nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet,dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien,amet lobortis sapien sapien non mi integer ac neque duis bibendum,1
24,20,sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum,sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus,sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer,2
25,4,tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum,libero quis orci nullam molestie nibh in lectus pellentesque at nulla,nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget,aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut,lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula,2
26,14,ante ipsum primis in faucibus orci luctus,posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec,orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut,porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo,lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi,3
27,16,rutrum at lorem integer tincidunt ante vel ipsum,tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue,molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam,2
28,19,felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu,quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi,4
29,20,in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis,eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor,ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi,sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam,nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin,2
30,11,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas,purus eu magna vulputate luctus cum sociis natoque penatibus et magnis,lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat,at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa,3
31,4,hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis,mauris morbi non lectus aliquam sit amet diam in magna,nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla,vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis,2
